open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713861000000,66118.00,66126.80,66031.20,66042.00,348.657,1713861299999,23032058.18130,7572,120.871,7985305.68540,0
1713861300000,66042.00,66080.10,66015.70,66080.10,295.530,1713861599999,19518042.10470,6514,157.896,10428510.98060,0
1713861600000,66080.20,66122.30,66059.00,66119.60,353.580,1713861899999,23367882.67990,6919,207.089,13686523.17090,0
1713861900000,66119.60,66158.80,66104.60,66125.00,478.418,1713862199999,31638485.08960,7943,265.231,17540424.11470,0
1713862200000,66125.00,66149.20,66070.20,66070.20,307.990,1713862499999,20365060.57840,6754,121.636,8043609.76100,0
1713862500000,66070.20,66229.20,66069.90,66179.00,599.796,1713862799999,39693851.12670,9839,392.557,25978553.30960,0
1713862800000,66178.90,66276.80,66178.90,66206.80,711.814,1713863099999,47149517.30400,10887,392.281,25983431.41720,0
1713863100000,66206.80,66250.00,66170.40,66185.40,717.232,1713863399999,47482615.67730,9177,441.266,29211887.21070,0
1713863400000,66185.40,66257.00,66157.10,66250.10,328.725,1713863699999,21763740.59330,6117,148.723,9847664.16600,0
1713863700000,66250.20,66250.20,66176.30,66199.70,292.690,1713863999999,19379468.34960,6007,113.775,7532896.34390,0
1713864000000,66199.70,66205.90,66106.50,66147.80,408.336,1713864299999,27010053.80160,6642,134.668,8906967.94130,0
1713864300000,66147.70,66208.20,66133.40,66185.40,241.772,1713864599999,15998153.88640,4911,116.123,7684044.47510,0
1713864600000,66185.30,66225.50,66129.00,66136.50,297.276,1713864899999,19677577.08320,5962,172.547,11422989.43560,0
1713864900000,66136.50,66167.40,66069.60,66078.40,381.701,1713865199999,25232469.31240,7230,104.335,6898175.62240,0
1713865200000,66078.30,66130.00,66072.60,66110.00,183.206,1713865499999,12111454.61330,4583,116.674,7713028.01090,0
1713865500000,66110.00,66143.10,66072.40,66080.10,234.882,1713865799999,15525586.28990,5290,91.525,6049745.06560,0
1713865800000,66080.10,66080.20,66026.90,66030.80,360.185,1713866099999,23789675.10190,6567,137.750,9097891.61980,0
1713866100000,66030.90,66069.80,66009.90,66040.00,357.018,1713866399999,23576185.20510,6254,186.092,12289535.67680,0
1713866400000,66039.90,66165.00,66039.90,66138.60,563.693,1713866699999,37274834.18020,9636,397.025,26253221.35140,0
1713866700000,66138.60,66143.90,66077.00,66101.10,226.587,1713866999999,14982098.66820,5759,100.500,6645307.49770,0
1713867000000,66101.10,66124.50,66080.00,66085.60,214.252,1713867299999,14162958.10700,4927,86.545,5721031.64970,0
1713867300000,66085.60,66103.70,66041.50,66078.80,256.338,1713867599999,16935966.34560,5281,148.340,9800586.93320,0
1713867600000,66078.80,66185.10,66065.90,66147.10,457.620,1713867899999,30260551.34340,8549,275.653,18227968.99100,0
1713867900000,66147.00,66185.00,66088.80,66088.90,341.991,1713868199999,22622696.49000,6687,142.999,9460576.36420,0
1713868200000,66088.80,66232.00,66088.80,66231.90,454.763,1713868499999,30095878.68520,8377,305.812,20238287.20010,0
1713868500000,66231.80,66297.00,66198.30,66250.40,773.117,1713868799999,51214970.45560,12167,428.872,28412308.77460,0
1713868800000,66250.50,66283.20,66212.30,66245.30,331.637,1713869099999,21969667.78070,6850,165.293,10950269.38240,0
1713869100000,66245.20,66266.60,66200.00,66200.00,292.589,1713869399999,19380024.06880,6285,126.752,8395944.25600,0
1713869400000,66200.00,66243.00,66187.20,66243.00,249.839,1713869699999,16542375.18840,5570,152.263,10081946.79660,0
1713869700000,66242.90,66261.70,66160.00,66188.10,587.222,1713869999999,38882393.73270,7685,182.129,12058082.96940,0
1713870000000,66188.10,66218.10,66088.50,66128.10,500.577,1713870299999,33101578.63340,9004,200.915,13284965.04790,0
1713870300000,66128.40,66130.80,65960.00,66046.70,1932.514,1713870599999,127588593.56720,19490,845.217,55794296.53580,0
1713870600000,66046.70,66165.20,66028.90,66160.60,419.513,1713870899999,27739021.31110,7850,242.660,16044652.78470,0
1713870900000,66160.70,66161.30,66058.00,66090.10,293.292,1713871199999,19386497.15900,5413,149.006,9848993.51150,0
1713871200000,66090.10,66101.90,66035.00,66037.30,382.372,1713871499999,25259119.64900,6297,210.303,13892497.81920,0
1713871500000,66037.30,66064.10,66036.00,66059.90,168.285,1713871799999,11114801.66510,4232,102.475,6768190.80560,0
1713871800000,66059.90,66103.30,65989.00,66022.40,373.809,1713872099999,24681652.77440,7652,190.837,12601770.84730,0
1713872100000,66022.40,66040.00,65818.60,65880.00,1847.023,1713872399999,121714275.87860,27117,656.412,43253903.46920,0
1713872400000,65880.00,65951.80,65812.00,65857.50,783.633,1713872699999,51625906.26850,12585,406.267,26769693.61760,0
1713872700000,65857.50,65970.50,65857.40,65931.60,899.266,1713872999999,59279095.17770,11787,615.945,40603200.42460,0
1713873000000,65931.60,66030.00,65931.50,66003.40,663.618,1713873299999,43785568.32950,10224,425.980,28105317.10850,0
1713873300000,66003.30,66023.60,65960.00,66023.50,281.112,1713873599999,18550996.47910,5487,126.230,8330333.31010,0
1713873600000,66023.50,66092.40,65979.90,66087.30,506.127,1713873899999,33423035.26580,9528,265.186,17512866.57250,0
1713873900000,66087.30,66140.20,66057.30,66066.50,562.757,1713874199999,37199038.91980,9964,295.022,19501790.96090,0
1713874200000,66066.40,66098.40,65918.00,66000.00,491.411,1713874499999,32431686.26560,9102,222.038,14654590.62420,0
1713874500000,66000.00,66019.00,65905.20,65926.30,357.975,1713874799999,23602695.08020,6903,160.374,10573833.31520,0
1713874800000,65926.30,66128.70,65918.20,66008.50,841.214,1713875099999,55572845.61270,12245,529.591,34986167.29690,0
1713875100000,66008.50,66063.50,65974.20,66029.90,290.737,1713875399999,19193923.72960,6659,147.990,9770621.17660,0
1713875400000,66029.80,66082.00,66002.00,66018.00,369.687,1713875699999,24412609.78430,6662,143.528,9478147.29750,0
1713875700000,66017.90,66040.00,65943.30,65976.00,297.199,1713875999999,19610048.95000,6658,131.180,8655486.41240,0
1713876000000,65976.00,65997.60,65870.20,65870.30,534.845,1713876299999,35257099.23890,9265,240.416,15849052.34240,0
1713876300000,65870.30,65960.00,65750.00,65920.40,1714.836,1713876599999,112890960.01890,26835,840.507,55344765.83500,0
1713876600000,65920.40,65993.00,65889.20,65960.10,347.976,1713876899999,22950707.84850,8381,212.196,13996006.56330,0
1713876900000,65960.10,66119.90,65960.10,66115.10,902.626,1713877199999,59621139.35230,13586,583.355,38533215.79210,0
1713877200000,66115.00,66168.80,66066.00,66071.60,929.772,1713877499999,61473576.03620,14277,397.732,26298728.57090,0
1713877500000,66071.50,66124.00,66018.30,66120.00,501.227,1713877799999,33120144.85580,10512,264.772,17497614.11570,0
1713877800000,66119.90,66123.90,66055.80,66074.70,285.411,1713878099999,18862995.95570,6491,154.322,10199062.89090,0
1713878100000,66074.80,66080.00,66006.60,66044.40,519.513,1713878399999,34309010.09300,9652,215.212,14212706.76070,0
1713878400000,66044.70,66096.90,66027.20,66042.00,288.282,1713878699999,19041899.98960,7026,142.296,9399092.78190,0
1713878700000,66042.10,66098.00,66030.60,66082.00,196.261,1713878999999,12965762.87500,5194,104.189,6883491.32920,0
1713879000000,66081.90,66228.70,66034.50,66152.50,1580.312,1713879299999,104552110.45220,22716,786.585,52046440.20340,0
1713879300000,66152.50,66384.50,66118.50,66345.00,1554.402,1713879599999,103033249.64250,22236,1017.988,67481724.53640,0
1713879600000,66344.90,66436.00,66272.00,66375.20,1792.515,1713879899999,118984710.53980,23521,868.236,57633632.34630,0
1713879900000,66375.20,66538.20,66270.60,66314.70,2950.429,1713880199999,196049502.02390,39635,1354.584,90019759.54450,0
1713880200000,66314.80,66510.50,66245.00,66484.80,1407.561,1713880499999,93420972.78860,23201,812.530,53935207.59090,0
1713880500000,66486.00,66519.90,66350.90,66467.20,1260.925,1713880799999,83785990.69650,20194,548.362,36439468.45430,0
1713880800000,66467.30,66500.00,66370.20,66458.40,920.079,1713881099999,61143463.40790,19982,408.460,27146571.01020,0
