2024-05-01 13:30:38,832 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:41,448 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:41,448 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:42,001 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:42,001 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:42,222 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:42,222 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:42,266 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:42,266 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:42,394 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:42,394 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:42,573 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:42,573 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:43,099 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:43,099 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:45,123 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:45,123 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:46,457 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:46,457 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:47,145 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:47,145 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:47,763 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:47,763 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:48,682 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:48,682 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:49,722 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:49,723 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:50,025 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:50,027 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:50,163 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:50,164 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:50,942 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:50,942 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:51,101 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
2024-05-01 13:30:51,101 ERROR	 :: Binance websocket connection error 'dict' object is not callable
2024-05-01 13:30:52,039 ERROR	 :: error from callback <bound method BinanceFuturesClient.on_message of <modules.binance_futures.BinanceFuturesClient object at 0x00000218C864AB80>>: 'dict' object is not callable
